,Symbol,2019Q1 %Change,2019Q2 %Change,2019Q3 %Change,2019Q4 %Change,2020Q1 %Change,Buy Straddle?,2020Q2 Date,2020Q2 %Change,2020Q2 Success
159,EMR,-2.28,-3.78,-1.92,-1.53,2.67,3 no,Multi,,NaN
160,EOG,1.74,2.89,2.44,1.44,-4.5,3 no,2020-05-07,,NaN
161,EQIX,5.13,4.44,5.45,0.56,-1.29,2 maybe,2020-05-06,,NaN
162,EQR,-0.4,-0.21,0.49,,4.21,3 no,2020-05-05,,NaN
163,ES,-0.38,1.45,-0.22,-0.45,2.94,3 no,2020-04-29,,NaN
164,ESS,-0.39,0.63,0.94,-1.26,0.31,3 no,2020-05-06,,NaN
165,ETFC,-3.09,3.08,1.05,5.2,-2.3,3 no,2020-04-23,1.13,no
166,ETN,3.2,-1.79,-0.59,-0.84,,3 no,2020-04-30,,NaN
167,ETR,-1.05,,0.98,-0.1,0.16,3 no,2020-05-11,,NaN
168,EVRG,,1.8,0.2,,2.22,3 no,2020-05-06,,NaN
169,EW,-1.69,-1.15,11.61,4.6,3.63,3 no,2020-04-23,6.44,yes
170,EXC,-4.09,0.76,-2.26,-0.34,0.2,3 no,2020-05-08,,NaN
171,EXPD,1.32,-2.05,11.78,1.95,0.67,3 no,2020-05-05,,NaN
172,EXPE,5.58,-2.99,2.0,-14.93,12.17,2 maybe,Multi,,NaN
173,EXR,-2.0,0.31,-0.11,-0.52,-2.37,3 no,2020-05-06,,NaN
174,F,0.47,6.7,-5.61,-3.69,-8.39,1 yes,2020-04-28,,NaN
175,FANG,-0.94,3.32,-3.34,-11.3,3.77,3 no,2020-05-04,,NaN
176,FAST,2.46,3.65,-4.42,9.93,-2.52,3 no,2020-04-14,6.69,yes
177,FB,10.09,7.89,-2.34,4.49,-7.48,1 yes,2020-04-29,,NaN
178,FBHS,-0.46,5.42,-1.7,1.75,-0.77,3 no,2020-04-30,,NaN
179,FCX,-6.82,-4.05,-0.94,0.4,-7.14,2 maybe,2020-04-24,5.25,yes
180,FDX,-4.77,-0.58,-11.54,-7.24,-4.81,1 yes,2020-06-23,,NaN
181,FE,-1.44,0.32,2.01,1.32,-0.43,3 no,2020-04-23,-7.06,yes
182,FFIV,-4.87,-4.69,-1.78,8.44,-5.77,1 yes,2020-04-27,,NaN
183,FIS,-2.11,4.16,3.65,3.11,0.6,3 no,2020-05-07,,NaN
184,FISV,,-1.71,2.71,2.95,1.38,3 no,2020-05-07,,NaN
185,FITB,0.83,-0.78,,,,3 no,,,NaN
186,FLIR,0.58,1.68,-1.74,-16.51,-11.26,3 no,2020-05-06,,NaN
187,FLS,-7.6,7.34,-3.0,-0.68,5.09,2 maybe,,,NaN
188,FLT,3.59,-0.9,4.0,-2.01,-5.73,3 no,2020-05-07,,NaN
189,FMC,-4.88,-2.71,-0.75,4.33,1.63,3 no,2020-05-05,,NaN
190,FOX,,,,,,3 no,,,NaN
191,FOXA,,-0.9,,,,3 no,2020-05-06,,NaN
192,FRC,9.01,-2.5,-3.71,5.99,3.08,3 no,2020-04-14,4.0,no
193,FRT,-0.27,-0.22,2.27,-0.56,0.55,3 no,2020-05-06,,NaN
194,FTI,,1.52,3.68,-6.19,3.8,3 no,2020-04-22,-8.35,yes
195,FTNT,-0.27,-5.97,11.36,8.71,-2.74,1 yes,2020-05-06,,NaN
196,FTV,1.32,-7.32,-9.3,-0.22,-0.86,3 no,2020-04-30,,NaN
197,GD,-3.5,5.89,-0.13,1.39,-0.64,3 no,2020-04-29,,NaN
198,GE,9.23,5.14,2.28,,7.16,2 maybe,2020-04-29,,NaN
199,GILD,-3.28,1.03,-2.15,-4.55,,3 no,2020-04-30,,NaN
200,GIS,2.33,-6.16,1.11,0.98,-3.39,3 no,2020-06-24,,NaN
201,GL,,0.45,1.32,1.11,-1.44,3 no,2020-04-22,2.94,no
202,GLW,5.73,-7.95,-6.54,-3.93,-1.38,2 maybe,2020-04-28,,NaN
203,GM,2.21,-2.72,2.28,2.62,1.54,3 no,2020-05-06,,NaN
204,GOOG,,,,,,3 no,,,NaN
205,GOOGL,-1.03,-8.14,8.1,-1.01,2.01,3 no,2020-04-28,,NaN
206,GPC,0.33,-0.69,-2.17,0.16,3.35,3 no,2020-05-06,,NaN
207,GPN,3.09,0.69,,2.3,-1.76,3 no,2020-05-06,,NaN
208,GPS,18.11,-15.29,-4.45,1.66,-8.48,1 yes,2020-05-28,,NaN
209,GRMN,6.86,-4.36,8.68,6.76,6.95,1 yes,2020-04-29,,NaN
210,GS,3.94,-1.79,1.52,-1.86,-1.49,3 no,2020-04-15,-4.26,yes
211,GWW,-3.02,-1.77,2.0,-3.69,-3.35,3 no,2020-04-23,-4.32,yes
212,HAL,-2.33,2.22,5.06,-1.52,-0.75,3 no,2020-04-20,-8.97,yes
213,HAS,1.23,13.83,6.78,-15.94,6.93,1 yes,2020-04-29,,NaN
214,HBAN,-1.03,,,,,3 no,,,NaN
215,HBI,7.06,1.49,1.93,-9.92,0.55,3 no,2020-04-30,,NaN
216,HCA,2.48,4.02,-10.17,5.53,4.17,1 yes,2020-04-21,-5.99,yes
217,HD,-2.31,-2.0,2.67,-3.45,2.67,3 no,2020-05-19,,NaN
218,HES,2.02,-1.08,-2.45,-3.3,-0.59,3 no,2020-05-07,,NaN
219,HFC,-1.02,2.18,2.43,2.2,-4.69,3 no,2020-05-07,,NaN
220,HIG,0.49,1.05,1.58,3.13,-1.25,3 no,2020-04-29,,NaN
221,HII,-4.28,-3.38,-8.01,,-3.71,3 no,,,NaN
222,HLT,4.41,4.45,-0.86,0.85,-0.84,3 no,2020-05-07,,NaN
223,HOG,-9.31,-2.49,-3.73,6.01,-6.4,2 maybe,2020-04-28,,NaN
224,HOLX,-2.75,0.65,-0.25,,-0.15,3 no,2020-04-29,,NaN
225,HON,3.53,2.84,1.17,1.63,0.72,3 no,2020-05-01,,NaN
226,HP,1.97,3.17,-2.75,2.54,4.2,3 no,2020-04-30,,NaN
227,HPE,1.66,-1.29,4.41,-5.56,-5.48,1 yes,2020-05-21,,NaN
228,HPQ,-15.93,1.72,-8.51,1.69,3.98,3 no,,,NaN
