,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
6,ARD,Ardagh Group SA,TAS,0.28,0.31,10.71,2020-04-23
0,ARDS,Aridis Pharmaceuticals Inc,After Market Close,,,,2020-04-08
6,ARE,Alexandria Real Estate Equities Inc,After Market Close,0.72,,,2020-04-27
50,ARES,Ares Management Corp,Before Market Open,0.41,,,2020-05-06
20,AREX,Approach Resources Inc,After Market Close,,,,2020-05-07
14,AREXQ,Approach Resources Inc,After Market Close,-0.06,,,2020-05-04
4,AREXQ,Approach Resources Inc,After Market Close,,,,2020-06-08
0,ARGC,Arion Group Corp,Time Not Supplied,,,,2020-06-14
4,ARGO,Argo Group International Holdings Ltd,Time Not Supplied,0.5,,,2020-04-27
6,ARI,Apollo Commercial Real Estate Finance Inc,After Market Close,0.39,,,2020-05-07
5,ARLO,Arlo Technologies Inc,Time Not Supplied,-0.35,,,2020-04-28
13,ARLP,Alliance Resource Partners LP,Before Market Open,0.13,,,2020-04-27
40,ARMK,Aramark,Before Market Open,0.25,,,2020-05-05
23,ARMP,Armata Pharmaceuticals Inc,Time Not Supplied,-0.29,,,2020-05-04
23,ARNA,Arena Pharmaceuticals Inc,Time Not Supplied,-2.28,,,2020-05-06
21,AROC,Archrock Inc,After Market Close,0.14,,,2020-05-04
0,AROW,Arrow Financial Corp,TAS,,,,2020-04-24
17,ARQL,ArQule Inc,Before Market Open,,,,2020-04-29
5,ARR,ARMOUR Residential REIT Inc,Time Not Supplied,0.57,,,2020-04-24
4,ARTL,Artelo Biosciences Inc,Before Market Open,-0.53,-0.4,24.53,2020-04-14
22,ARTNA,Artesian Resources Corp,After Market Close,,,,2020-05-06
2,ARTW,Art's Way Manufacturing Co Inc,TAS,,,,2020-04-13
30,ARVN,Arvinas Inc,Before Market Open,-0.6,,,2020-05-06
9,ARW,Arrow Electronics Inc,Before Market Open,1.12,,,2020-04-30
54,ARWR,Arrowhead Pharmaceuticals Inc,After Market Close,-0.11,,,2020-05-07
4,ASB,Associated Banc-Corp,TAS,0.1,0.28,180.0,2020-04-23
3,ASCMB,Ascent Capital Group Inc,Time Not Supplied,,,,2020-05-12
7,ASFI,Asta Funding Inc,Time Not Supplied,,,,2020-05-11
2,ASGN,ASGN Inc,After Market Close,0.84,,,2020-04-30
6,ASH,Ashland Global Holdings Inc.,After Market Close,0.81,,,2020-05-05
6,ASIX,AdvanSix Inc,Before Market Open,0.16,,,2020-05-01
0,ASNA,Ascena Retail Group Inc,Time Not Supplied,,,,2020-06-08
0,ASND,Ascendis Pharma A/S,After Market Close,,,,2020-04-01
1,ASND,Ascendis Pharma A/S,TAS,,,,2020-04-01
10,ASPN,Aspen Aerogels Inc,After Market Close,-0.22,,,2020-04-30
2,ASPS,Altisource Portfolio Solutions SA,Time Not Supplied,0.09,,,2020-04-27
16,ASRT,Assertio Therapeutics Inc,Before Market Open,0.18,,,2020-05-11
1,ASRV,Ameriserv Financial Inc,Before Market Open,,,,2020-04-21
20,ASTE,Astec Industries Inc,Before Market Open,0.4,,,2020-05-06
0,ASTI,Ascent Solar Technologies Inc,Before Market Open,,,,2020-04-14
49,ASUR,Asure Software Inc,After Market Close,0.16,,,2020-05-07
28,ATAX,America First Multifamily Investors LP,TAS,0.06,,,2020-05-07
32,ATAX,America First Multifamily Investors LP,Before Market Open,0.06,,,2020-05-07
6,ATCO,Atlas Corp (British Columbia),Time Not Supplied,0.25,,,2020-04-13
1,ATCXW,Atlas Technical Consultants Inc,After Market Close,,,,2020-06-17
15,ATEC,Alphatec Holdings Inc,After Market Close,-0.21,,,2020-05-07
43,ATEN,A10 Networks Inc,After Market Close,0.02,,,2020-05-07
30,ATGE,Adtalem Global Education Inc,After Market Close,0.67,,,2020-05-05
1,ATGN,Altigen Communications Inc,TAS,,,,2020-04-23
43,ATH,Athene Holding Ltd,Before Market Open,0.32,,,2020-05-05
13,ATHM,Autohome Inc,Before Market Open,5.39,,,2020-05-06
25,ATHX,Athersys Inc,After Market Close,-0.08,,,2020-05-07
23,ATI,Allegheny Technologies Inc,Before Market Open,0.14,,,2020-05-05
34,ATKR,Atkore International Group Inc,Before Market Open,0.85,,,2020-05-05
2,ATLO,Ames National Corp,After Market Close,,,,2020-04-17
5,ATLO,Ames National Corp,After Market Close,,,,2020-06-08
5,ATMS,Artemis Therapeutics Inc,Time Not Supplied,,,,2020-04-13
10,ATMS,Artemis Therapeutics Inc,Time Not Supplied,,,,2020-05-13
11,ATNI,ATN International Inc,After Market Close,-0.03,,,2020-04-29
3,ATNX,Athenex Inc,Before Market Open,-0.17,,,2020-05-07
32,ATO,Atmos Energy Corp,After Market Close,1.94,,,2020-05-06
36,ATOM,Atomera Inc,TAS,-0.18,,,2020-04-30
23,ATOS,Atossa Therapeutics Inc,Time Not Supplied,-0.39,,,2020-05-11
35,ATR,Aptargroup Inc,After Market Close,0.87,,,2020-04-30
15,ATRC,AtriCure Inc,After Market Close,-0.41,,,2020-04-29
43,ATRI,Atrion Corp,After Market Close,,,,2020-05-06
5,ATRX,Adhera Therapeutics Inc,After Market Close,,,,2020-04-14
5,ATRX,Adhera Therapeutics Inc,After Market Close,,,,2020-05-13
3,ATTO,Atento SA,After Market Close,0.06,,,2020-05-18
11,ATUS,Altice USA Inc,After Market Close,0.11,,,2020-04-30
13,ATVI,Activision Blizzard Inc,After Market Close,0.38,,,2020-05-05
3,AUB,Atlantic Union Bankshares Corp,Before Market Open,0.48,,,2020-04-28
15,AUDC,AudioCodes Ltd,Before Market Open,0.23,,,2020-04-27
28,AUMN,Golden Minerals Co,Before Market Open,,,,2020-04-30
25,AURX,Nuo Therapeutics Inc,After Market Close,,,,2020-04-13
21,AURX,Nuo Therapeutics Inc,After Market Close,,,,2020-05-18
19,AUTO,AutoWeb Inc,Time Not Supplied,-0.18,,,2020-05-07
3,AVA,Avista Corp,TAS,0.65,,,2020-05-08
0,AVAV,AeroVironment Inc,After Market Close,0.7,,,2020-06-23
42,AVB,AvalonBay Communities Inc,After Market Close,1.18,,,2020-05-06
0,AVCO,Avalon Globocare Corp,After Market Close,,,,2020-04-06
2,AVCO,Avalon Globocare Corp,After Market Close,,,,2020-05-12
45,AVDL,Avadel Pharmaceuticals PLC,Before Market Open,-0.24,,,2020-05-06
2,AVGO,Broadcom Inc,After Market Close,,,,2020-06-11
1,AVGOP,Broadcom Inc,After Market Close,,,,2020-06-11
17,AVID,Avid Technology Inc,After Market Close,-0.01,,,2020-05-07
18,AVID,Avid Technology Inc,TAS,-0.01,,,2020-05-07
33,AVLR,Avalara Inc,After Market Close,-0.1,,,2020-05-07
28,AVNS,Avanos Medical Inc,Before Market Open,0.16,,,2020-05-05
15,AVNW,Aviat Networks Inc,Time Not Supplied,0.25,,,2020-05-11
14,AVP,Avon Products Inc,Before Market Open,,,,2020-04-30
18,AVRO,AVROBIO Inc,TAS,-0.67,,,2020-05-11
14,AVT,Avnet Inc,After Market Close,0.32,,,2020-04-27
14,AVTR,Avantor Inc,After Market Close,0.15,,,2020-04-29
5,AVX,AVX Corp,Before Market Open,0.2,,,2020-04-20
