,Symbol,2019Q1 Date,2019Q1 Time,2019Q1 Before Open %Change,2019Q1 After Close %Change,2019Q2 Date,2019Q2 Time,2019Q2 Before Open %Change,2019Q2 After Close %Change,2019Q3 Date,2019Q3 Time,2019Q3 Before Open %Change,2019Q3 After Close %Change,2019Q4 Date,2019Q4 Time,2019Q4 Before Open %Change,2019Q4 After Close %Change,2020Q1 Date,2020Q1 Time,2020Q1 Before Open %Change,2020Q1 After Close %Change
132,DG,2019-03-14,TAS,-7.49,0.15,2019-05-30,TAS,5.3,-0.66,2019-08-29,TAS,7.51,0.34,2019-12-05,TAS,1.31,0.52,2020-03-12,TAS,-3.57,4.75
133,DGX,2019-02-14,TAS,-6.01,0.63,2019-04-23,TAS,1.34,0.35,2019-07-23,TAS,5.74,0.41,2019-10-22,TAS,-0.08,0.44,2020-01-30,TAS,1.86,-0.44
134,DHI,2019-01-25,Before Market Open,0.7,-2.06,2019-04-25,Before Market Open,-5.89,-0.36,2019-07-30,TAS,0.68,0.77,2019-11-12,TAS,4.31,0.02,2020-01-27,TAS,1.09,1.02
135,DHR,2019-01-29,TAS,0.15,0.74,2019-04-18,TAS,2.69,-0.98,2019-07-18,TAS,1.29,0.35,2019-10-24,TAS,-0.56,-0.52,2020-01-30,TAS,-0.13,-1.07
136,DIS,2019-02-05,TAS,0.2,1.06,Multi,Multi,,,Multi,Multi,,,Multi,Multi,,,Multi,Multi,,
137,DISCA,2019-02-26,TAS,-3.77,0.39,2019-05-02,TAS,2.72,0.65,2019-08-06,TAS,2.71,-0.68,2019-11-06,TAS,0.36,3.72,2020-02-24,TAS,-2.4,0.11
138,DISCK,,,,,2019-05-02,TAS,1.21,0.36,2019-08-06,TAS,3.93,-1.28,2019-11-07,TAS,2.71,0.07,2020-02-27,TAS,-3.27,-2.1
139,DISH,2019-02-13,TAS,-6.3,-1.0,2019-05-03,TAS,0.12,0.26,2019-07-29,TAS,-2.0,-1.96,2019-11-07,Before Market Open,7.37,-0.4,2020-02-19,TAS,1.72,1.24
140,DLR,2019-02-05,TAS,0.0,-0.97,2019-04-25,TAS,-1.14,-1.72,2019-07-30,TAS,-0.16,-0.37,2019-10-29,TAS,0.11,-1.19,2020-02-13,TAS,-0.44,-0.49
141,DLTR,2019-03-06,TAS,2.29,-0.92,2019-05-30,Before Market Open,0.89,-0.75,2019-08-29,TAS,2.91,0.59,2019-11-26,TAS,-14.8,-0.8,2020-03-04,TAS,-0.73,-0.35
142,DOV,2019-01-29,TAS,7.86,1.1,2019-04-18,TAS,0.62,-1.47,2019-07-18,TAS,-0.5,0.68,2019-10-17,TAS,7.48,0.13,2020-01-30,TAS,0.27,-0.83
143,DOW,,,,,2019-05-02,Time Not Supplied,-1.05,0.95,Multi,Multi,,,Multi,Multi,,,2020-01-29,Before Market Open,3.86,-2.74
144,DRE,2019-01-30,TAS,0.03,-0.17,2019-04-24,TAS,0.56,-0.39,2019-07-31,TAS,-0.56,0.12,2019-10-30,TAS,0.43,1.04,2020-01-29,TAS,-0.03,-0.52
145,DRI,2019-03-21,TAS,4.45,0.09,2019-06-20,Before Market Open,-2.18,0.31,2019-09-19,TAS,-4.02,-0.06,2019-12-19,TAS,-3.67,0.89,2020-03-19,TAS,-1.26,7.26
146,DTE,2019-02-07,TAS,-3.6,-0.16,2019-04-24,TAS,0.28,-0.42,2019-07-24,TAS,0.49,-0.09,2019-10-22,Before Market Open,0.36,-0.23,2020-02-05,Before Market Open,0.68,0.34
147,DUK,2019-02-14,TAS,-1.18,0.72,2019-05-09,TAS,1.0,-0.24,2019-08-06,TAS,0.39,-0.01,2019-11-08,TAS,-0.95,0.03,2020-02-13,TAS,-0.11,0.05
148,DVA,2019-02-13,TAS,0.24,-0.74,2019-05-07,TAS,-1.21,-4.15,Multi,Multi,,,2019-11-05,TAS,0.81,8.3,2020-02-10,TAS,0.02,1.51
149,DVN,2019-02-19,TAS,-1.16,9.08,2019-04-30,TAS,1.22,2.68,2019-08-06,TAS,1.04,-4.5,2019-11-05,TAS,1.02,4.44,2020-02-18,After Market Close,-1.4,1.62
150,DXC,2019-02-07,TAS,-0.5,2.15,2019-05-23,TAS,-1.14,2.17,2019-08-08,TAS,0.48,-24.88,2019-11-11,TAS,-1.0,7.04,2020-02-06,TAS,0.7,2.51
151,EA,2019-02-05,TAS,0.71,-14.46,2019-05-07,TAS,-0.69,6.88,2019-07-30,TAS,-1.06,6.13,2019-10-29,TAS,0.0,-0.17,2020-01-30,TAS,-0.7,-0.8
152,EBAY,2019-01-29,TAS,1.03,0.83,2019-04-23,TAS,-0.22,3.63,2019-07-17,TAS,0.18,5.33,2019-10-23,TAS,-0.69,-8.75,2020-01-28,TAS,0.37,-3.18
153,ECL,2019-02-19,TAS,0.93,-0.99,2019-04-30,TAS,-1.97,-0.33,2019-07-30,TAS,-0.62,0.16,2019-10-29,TAS,-2.67,0.07,2020-02-18,TAS,-0.06,0.45
154,ED,2019-02-21,TAS,-0.44,0.86,2019-05-02,TAS,0.13,0.5,2019-08-01,TAS,-0.21,1.33,2019-11-04,TAS,-0.33,-0.91,2020-02-20,TAS,-0.01,-3.56
155,EFX,2019-02-20,TAS,0.22,-1.0,2019-05-10,TAS,-1.33,-2.43,2019-07-24,TAS,-0.24,0.12,2019-10-23,TAS,-0.24,0.45,2020-02-12,TAS,-0.06,0.87
156,EIX,2019-02-20,After Market Close,-0.18,-0.64,2019-04-30,TAS,0.05,-2.7,2019-07-25,TAS,-0.24,0.19,2019-10-29,TAS,-0.02,-2.32,2020-02-27,TAS,-0.4,-2.38
157,EL,2019-02-05,TAS,9.42,-1.45,2019-05-01,TAS,4.76,-0.88,2019-08-19,TAS,8.92,-1.12,2019-10-31,TAS,-3.59,0.57,2020-02-06,TAS,4.8,-0.78
158,EMN,2019-01-31,TAS,-1.49,-1.61,2019-04-25,TAS,-0.16,-1.5,2019-07-25,TAS,-0.64,-2.02,2019-10-24,TAS,1.07,-2.48,2020-01-30,TAS,-1.41,0.2
159,EMR,2019-02-04,Before Market Open,0.15,-2.28,2019-05-07,TAS,-3.78,-0.3,2019-08-06,TAS,0.69,-1.92,2019-11-05,TAS,-1.53,-0.89,2020-02-04,TAS,2.67,1.86
160,EOG,2019-02-26,TAS,0.25,1.74,2019-05-02,TAS,-0.83,2.89,2019-08-01,TAS,-2.15,2.44,2019-11-06,TAS,-0.7,1.44,2020-02-27,TAS,-4.13,-4.5
161,EQIX,2019-02-13,TAS,-2.65,5.13,2019-05-01,TAS,-0.24,4.44,2019-07-31,TAS,-0.23,5.45,2019-10-30,TAS,0.56,0.27,2020-02-12,TAS,0.43,-1.29
162,EQR,2019-01-29,TAS,-0.4,-0.39,2019-04-30,TAS,0.15,-0.21,2019-07-30,TAS,-0.08,0.49,Multi,Multi,,,2020-01-28,TAS,0.17,4.21
163,ES,2019-02-20,TAS,-0.16,-0.38,2019-05-01,TAS,-0.39,1.45,2019-07-31,TAS,-0.22,-0.16,2019-11-05,TAS,-0.45,0.01,2020-02-19,TAS,0.03,2.94
164,ESS,2019-01-30,TAS,-0.38,-0.39,2019-04-24,TAS,0.63,-0.03,2019-07-24,TAS,0.19,0.94,2019-10-23,TAS,-0.35,-1.26,2020-01-29,TAS,0.27,0.31
165,ETFC,2019-01-24,TAS,-0.08,-3.09,2019-04-17,TAS,0.36,3.08,2019-07-18,TAS,-0.15,1.05,2019-10-17,TAS,0.41,5.2,2020-01-23,TAS,-1.03,-2.3
166,ETN,2019-01-31,TAS,3.2,0.05,2019-04-30,TAS,-1.79,0.54,2019-07-30,TAS,-0.59,-0.05,2019-10-29,TAS,-0.84,0.02,Multi,Multi,,
167,ETR,2019-02-20,TAS,-1.05,-0.85,,,,,2019-07-31,TAS,0.98,-0.44,2019-10-30,TAS,-0.08,-0.1,2020-02-19,TAS,0.16,-0.05
168,EVRG,Multi,Multi,,,2019-05-09,TAS,1.8,0.14,2019-08-07,Time Not Supplied,0.16,0.2,Multi,Multi,,,2020-03-02,Time Not Supplied,2.22,0.37
169,EW,2019-01-31,TAS,-0.3,-1.69,2019-04-23,TAS,-0.11,-1.15,2019-07-23,TAS,0.08,11.61,2019-10-23,TAS,0.17,4.6,2020-01-30,TAS,-0.99,3.63
170,EXC,2019-02-08,TAS,-4.09,-0.13,2019-05-02,TAS,0.76,0.04,2019-08-01,TAS,-2.26,0.38,2019-10-31,TAS,-0.34,-0.11,2020-02-11,TAS,0.0,0.2
171,EXPD,2019-02-19,TAS,1.32,-0.07,2019-05-07,TAS,-2.05,0.26,2019-08-06,TAS,11.78,-1.5,2019-11-05,TAS,1.95,-0.37,2020-02-18,TAS,0.67,-0.55
172,EXPE,2019-02-07,TAS,-0.55,5.58,2019-05-02,TAS,-0.19,-2.99,2019-07-25,TAS,0.43,2.0,2019-11-06,TAS,0.3,-14.93,2020-02-13,TAS,-0.87,12.17
173,EXR,2019-02-20,TAS,-0.07,-2.0,2019-04-30,TAS,0.31,-0.18,2019-07-30,TAS,-0.11,-0.04,2019-10-29,TAS,0.08,-0.52,2020-02-18,TAS,0.16,-2.37
174,F,2019-01-23,TAS,0.47,-0.24,2019-04-25,TAS,-0.52,6.7,2019-07-24,TAS,0.1,-5.61,2019-10-23,TAS,-0.66,-3.69,2020-02-04,TAS,1.11,-8.39
175,FANG,2019-02-19,TAS,-0.94,-0.76,2019-05-07,TAS,-1.14,3.32,2019-08-06,TAS,0.38,-3.34,2019-11-05,TAS,0.71,-11.3,2020-02-18,TAS,-0.61,3.77
176,FAST,2019-01-17,TAS,2.46,1.13,2019-04-11,TAS,3.65,0.42,2019-07-11,TAS,-4.42,0.0,2019-10-11,TAS,9.93,-2.72,2020-01-17,TAS,-2.52,-1.01
177,FB,2019-01-30,TAS,1.41,10.09,2019-04-24,TAS,0.39,7.89,2019-07-24,TAS,-2.34,1.0,2019-10-30,TAS,0.13,4.49,2020-01-29,TAS,1.68,-7.48
178,FBHS,2019-01-30,After Market Close,0.26,-0.46,2019-04-24,TAS,0.28,5.42,2019-08-01,TAS,-0.09,-1.7,2019-10-23,TAS,-0.26,1.75,2020-01-29,TAS,0.55,-0.77
179,FCX,2019-01-24,TAS,-6.82,2.52,2019-04-25,TAS,-4.05,0.41,2019-07-24,TAS,-0.94,0.92,2019-10-23,TAS,0.4,-0.2,2020-01-23,TAS,-7.14,-0.84
180,FDX,2019-03-19,TAS,0.78,-4.77,2019-06-25,TAS,-0.58,0.3,2019-09-17,TAS,-0.69,-11.54,2019-12-17,TAS,-1.58,-7.24,2020-03-17,TAS,2.66,-4.81
181,FE,2019-02-19,TAS,0.0,-1.44,2019-04-23,TAS,0.02,0.32,2019-07-23,TAS,-0.05,2.01,2019-11-04,TAS,1.32,-0.69,2020-02-07,TAS,-0.43,0.04
182,FFIV,2019-01-23,TAS,0.66,-4.87,2019-04-24,TAS,0.0,-4.69,2019-07-24,TAS,0.13,-1.78,2019-10-23,TAS,-0.31,8.44,2020-01-27,TAS,-1.46,-5.77
183,FIS,2019-02-12,TAS,-2.11,0.84,2019-04-30,TAS,4.16,-0.14,2019-08-06,TAS,3.65,-1.44,2019-11-05,TAS,3.11,-0.14,2020-02-13,TAS,0.6,0.02
184,FISV,Multi,Multi,,,2019-04-30,TAS,1.41,-1.71,2019-07-25,TAS,1.38,2.71,2019-11-06,TAS,-0.1,2.95,2020-02-04,TAS,1.38,-1.01
185,FITB,2019-01-22,TAS,0.56,0.83,2019-04-23,TAS,-0.44,-0.78,,,,,,,,,,,,
186,FLIR,2019-02-13,TAS,0.31,0.58,2019-04-24,TAS,1.68,-0.97,2019-07-24,TAS,-1.74,-0.31,2019-10-31,TAS,-16.51,0.64,2020-02-27,TAS,-11.26,-3.2
187,FLS,2019-02-20,TAS,0.21,-7.6,2019-05-02,TAS,-1.88,7.34,2019-07-31,TAS,-0.04,-3.0,2019-10-30,TAS,-0.68,0.32,2020-02-17,TAS,4.12,5.09
188,FLT,2019-02-06,TAS,-0.26,3.59,2019-05-07,TAS,-0.9,0.67,2019-08-06,TAS,0.87,4.0,2019-11-06,After Market Close,0.13,-2.01,2020-02-06,TAS,0.24,-5.73
189,FMC,2019-02-11,TAS,-0.02,-4.88,2019-05-06,After Market Close,-2.71,2.22,2019-07-30,TAS,-0.75,-0.35,2019-10-29,TAS,-0.48,4.33,2020-02-05,TAS,0.87,1.63
190,FOX,,,,,,,,,,,,,,,,,,,,
191,FOXA,2019-02-06,TAS,,,2019-05-07,After Market Close,-0.9,0.21,Multi,Multi,,,Multi,Multi,,,Multi,Multi,,
192,FRC,2019-01-15,TAS,9.01,0.72,2019-04-12,TAS,-2.5,-0.31,2019-07-16,TAS,-3.71,-0.74,2019-10-15,TAS,5.99,-1.7,2020-01-14,TAS,3.08,-2.28
193,FRT,2019-02-13,TAS,-0.27,-0.13,2019-05-02,TAS,0.22,-0.22,2019-08-01,TAS,-0.23,2.27,2019-10-30,TAS,0.0,-0.56,2020-02-10,After Market Close,0.55,-0.22
194,FTI,,,,,2019-04-25,TAS,0.44,1.52,2019-07-24,TAS,1.07,3.68,2019-10-23,TAS,-0.64,-6.19,2020-02-26,TAS,3.8,-0.2
195,FTNT,2019-02-06,TAS,0.04,-0.27,2019-05-02,TAS,-0.08,-5.97,2019-08-01,TAS,0.16,11.36,2019-10-31,TAS,-0.5,8.71,2020-02-06,TAS,0.13,-2.74
196,FTV,2019-02-07,TAS,-1.0,1.32,2019-04-25,TAS,-0.68,-7.32,2019-07-25,TAS,0.05,-9.3,2019-10-24,TAS,-0.03,-0.22,2020-02-06,TAS,0.26,-0.86
197,GD,2019-01-30,TAS,-3.5,-1.01,2019-04-24,TAS,5.89,-0.55,2019-07-24,TAS,0.01,-0.13,2019-10-23,TAS,-1.22,1.39,2020-01-29,TAS,0.16,-0.64
198,GE,2019-01-31,Before Market Open,9.23,0.39,2019-04-30,Before Market Open,5.14,-0.2,2019-07-31,Before Market Open,2.28,-0.77,,,,,2020-01-29,Before Market Open,7.16,-0.39
199,GILD,2019-02-04,TAS,-0.27,-3.28,2019-05-02,TAS,-0.25,1.03,2019-07-30,TAS,-0.1,-2.15,2019-10-24,TAS,0.26,-4.55,,,,
200,GIS,2019-03-20,TAS,2.33,-0.12,2019-06-26,TAS,-6.16,-0.21,2019-09-18,TAS,1.11,-0.28,2019-12-18,TAS,0.98,0.56,2020-03-18,TAS,-3.39,0.76
201,GL,,,,,2019-04-17,TAS,0.45,0.29,2019-07-24,TAS,-0.15,1.32,2019-10-23,TAS,-0.24,1.11,2020-02-04,TAS,1.07,-1.44
202,GLW,2019-01-29,TAS,5.73,0.33,2019-04-30,TAS,-7.95,0.47,2019-07-30,TAS,-6.54,-0.41,2019-10-29,TAS,1.05,-3.93,2020-01-29,TAS,-0.68,-1.38
203,GM,2019-02-06,TAS,2.21,-1.7,2019-04-30,TAS,-2.72,0.13,2019-08-01,TAS,2.28,-0.6,2019-10-29,TAS,2.62,0.13,2020-02-05,TAS,1.54,0.06
204,GOOG,,,,,,,,,,,,,,,,,,,,
205,GOOGL,2019-02-04,After Market Close,0.03,-1.03,2019-04-29,After Market Close,0.24,-8.14,2019-07-25,After Market Close,-0.07,8.1,2019-10-28,After Market Close,0.85,-1.01,2020-02-03,After Market Close,2.01,-1.9
206,GPC,2019-02-19,TAS,0.1,0.33,2019-04-18,TAS,-0.69,-0.4,2019-07-18,TAS,-2.17,-0.2,2019-10-17,TAS,0.16,0.0,2020-02-19,TAS,3.35,-0.67
207,GPN,2019-02-13,TAS,3.09,0.13,2019-05-02,TAS,-0.03,0.69,Multi,Multi,,,2019-10-31,TAS,2.3,0.85,2020-02-12,TAS,-1.76,-0.43
208,GPS,2019-02-28,TAS,-0.12,18.11,2019-05-30,TAS,0.34,-15.29,2019-08-22,TAS,1.12,-4.45,2019-11-21,TAS,0.12,1.66,2020-03-12,TAS,-8.48,7.15
209,GRMN,2019-02-20,TAS,6.86,-0.93,2019-05-01,TAS,-4.36,0.1,2019-07-31,TAS,8.68,-0.34,2019-10-30,TAS,6.76,-1.14,2020-02-19,TAS,6.95,-0.16
210,GS,2019-01-16,TAS,3.94,-0.57,2019-04-15,Before Market Open,-1.79,-0.15,2019-07-16,Before Market Open,1.52,-0.78,2019-10-15,Before Market Open,-1.86,-0.14,2020-01-15,Before Market Open,-1.49,0.73
211,GWW,2019-01-24,TAS,-3.02,0.59,2019-04-22,TAS,-1.77,-1.01,2019-07-24,TAS,2.0,0.22,2019-10-23,TAS,-3.69,0.46,2020-01-30,TAS,-3.35,-0.99
212,HAL,2019-01-22,TAS,-2.33,0.19,2019-04-22,TAS,2.22,0.29,2019-07-22,TAS,5.06,-0.29,2019-10-21,TAS,-1.52,1.02,2020-01-21,TAS,-0.75,0.17
213,HAS,2019-02-08,TAS,-0.65,1.23,2019-04-23,TAS,13.83,0.34,2019-07-23,TAS,6.78,-0.59,2019-10-22,TAS,-15.94,0.13,2020-02-11,TAS,6.93,-0.12
214,HBAN,2019-01-24,TAS,-1.03,0.82,,,,,,,,,,,,,,,,
215,HBI,2019-02-07,TAS,7.06,-0.43,2019-05-02,TAS,1.49,0.46,2019-08-01,TAS,1.93,-0.93,2019-10-31,TAS,-9.92,1.12,2020-02-07,TAS,0.55,0.21
216,HCA,2019-01-29,TAS,2.48,0.14,2019-04-30,TAS,4.02,-0.34,2019-07-30,TAS,-10.17,-0.26,2019-10-29,TAS,5.53,-0.42,2020-01-28,TAS,4.17,0.23
217,HD,2019-02-26,TAS,-2.31,-0.21,2019-05-21,TAS,-2.0,-0.5,2019-08-20,TAS,2.67,0.76,2019-11-19,TAS,-3.45,-0.58,2020-02-25,TAS,2.67,0.72
218,HES,2019-01-30,TAS,2.02,0.2,2019-04-25,TAS,0.93,-1.08,2019-07-31,TAS,-0.05,-2.45,2019-10-30,TAS,-3.3,-0.6,2020-01-29,TAS,0.19,-0.59
219,HFC,2019-02-20,TAS,-1.02,0.0,2019-05-02,TAS,2.18,0.52,2019-08-01,TAS,2.43,-0.23,2019-10-31,TAS,2.2,0.38,2020-02-20,TAS,-4.69,-0.45
220,HIG,2019-02-04,TAS,0.49,0.11,2019-05-01,TAS,-0.21,1.05,2019-08-01,TAS,-0.05,1.58,2019-11-04,TAS,0.31,3.13,2020-02-03,TAS,0.49,-1.25
221,HII,2019-02-14,TAS,-4.28,0.96,2019-05-02,TAS,-3.38,0.0,2019-08-01,TAS,-8.01,-0.09,,,,,2020-02-13,TAS,-3.71,0.55
222,HLT,2019-02-13,TAS,4.41,0.39,2019-05-01,TAS,4.45,-0.16,2019-07-24,TAS,0.5,-0.86,2019-10-23,TAS,0.85,-0.22,2020-02-11,TAS,-0.84,0.49
223,HOG,2019-01-29,TAS,-9.31,-0.43,2019-04-23,TAS,0.5,-2.49,2019-07-23,TAS,-3.73,-0.66,2019-10-22,TAS,6.01,-0.1,2020-01-28,TAS,-6.4,0.92
224,HOLX,2019-01-30,TAS,0.23,-2.75,2019-05-01,TAS,-0.15,0.65,2019-07-31,TAS,-0.25,0.14,,,,,2020-01-29,TAS,-0.15,0.05
225,HON,2019-02-01,TAS,3.53,-0.16,2019-04-18,TAS,2.84,-0.48,2019-07-18,TAS,1.17,0.09,2019-10-17,TAS,1.63,-0.22,2020-01-31,TAS,-0.24,0.72
226,HP,2019-01-29,TAS,1.97,1.5,2019-04-24,TAS,0.35,3.17,2019-07-24,TAS,0.22,-2.75,2019-11-14,TAS,0.43,2.54,2020-02-03,TAS,-0.47,4.2
227,HPE,2019-02-21,TAS,0.37,1.66,2019-05-23,TAS,-1.29,-0.28,2019-08-27,TAS,0.85,4.41,2019-11-25,TAS,0.23,-5.56,2020-03-03,TAS,-2.09,-5.48
228,HPQ,2019-02-27,TAS,-0.63,-15.93,2019-05-23,After Market Close,-1.46,1.72,2019-08-22,TAS,0.26,-8.51,2019-11-26,TAS,-0.25,1.69,2020-02-24,TAS,-1.85,3.98
229,HRB,2019-03-07,TAS,0.0,-0.58,2019-06-11,TAS,1.97,-0.29,2019-08-28,TAS,-0.37,-3.42,2019-12-04,TAS,0.08,0.3,2020-03-05,TAS,-2.79,-8.3
230,HRL,2019-02-21,TAS,-1.6,-1.81,2019-05-23,TAS,-5.04,0.08,2019-08-22,TAS,3.12,-0.58,2019-11-26,TAS,0.42,0.0,2020-02-20,TAS,-3.1,-0.79
231,HSIC,2019-02-20,TAS,-6.5,-0.23,2019-05-07,TAS,4.0,0.49,2019-08-06,TAS,-7.03,-2.57,2019-11-05,TAS,-1.14,-1.14,2020-02-20,TAS,-0.96,-0.39
232,HST,2019-02-19,TAS,0.05,2.0,2019-05-01,TAS,0.42,0.1,2019-08-06,TAS,0.96,-1.67,2019-11-05,TAS,0.12,0.46,2020-02-19,TAS,0.3,3.71
233,HSY,2019-01-31,TAS,-2.16,-0.05,2019-04-25,TAS,2.61,0.05,2019-07-25,TAS,-3.24,0.82,2019-10-24,TAS,-2.75,0.0,2020-01-30,Before Market Open,0.16,-0.4
234,HUM,2019-02-06,TAS,-1.69,-0.4,2019-05-01,TAS,-2.08,0.39,2019-07-31,TAS,5.89,0.59,,,,,2020-02-05,TAS,1.95,0.53
235,HWM,,,,,,,,,,,,,,,,,2020-01-27,Time Not Supplied,-43.05,16.67
236,IBM,2019-01-22,TAS,-0.42,7.22,2019-04-16,TAS,0.35,-5.35,2019-07-17,TAS,0.06,-0.4,2019-10-16,TAS,-0.36,-5.0,2020-01-21,TAS,-0.36,2.98
237,ICE,2019-02-07,TAS,-1.36,-0.56,2019-05-02,TAS,0.1,0.23,2019-08-01,TAS,-0.96,-0.06,2019-10-31,TAS,0.72,0.66,2020-02-06,TAS,-0.14,4.21
238,IDXX,2019-02-01,TAS,0.59,0.06,2019-05-01,TAS,-0.16,0.24,,,,,2019-10-31,TAS,-0.58,0.19,2020-01-31,TAS,-1.27,1.87
239,IEX,2019-01-29,TAS,0.6,-5.64,2019-04-25,TAS,-0.81,2.07,2019-07-25,TAS,0.11,1.57,2019-10-29,TAS,-0.49,-1.07,2020-01-29,TAS,0.5,-5.78
240,IFF,2019-02-13,TAS,0.38,-5.47,2019-05-06,TAS,-2.15,0.76,2019-08-05,TAS,-0.92,-11.85,2019-11-04,TAS,1.23,1.89,2020-02-12,TAS,1.04,-6.05
241,ILMN,2019-01-29,TAS,0.47,-3.2,2019-04-25,TAS,-0.13,-1.32,Multi,Multi,,,,,,,2020-01-29,TAS,0.23,-5.04
242,INCY,2019-02-14,TAS,1.0,-1.64,2019-04-30,TAS,0.31,0.48,2019-07-30,TAS,3.13,0.08,2019-10-29,TAS,0.18,-0.35,2020-02-13,TAS,2.33,-0.05
243,INFO,Multi,Multi,,,2019-06-26,TAS,0.47,0.79,2019-09-24,TAS,-2.12,0.15,,,,,Multi,Multi,,
244,INTC,2019-01-24,After Market Close,1.59,-5.85,2019-04-25,After Market Close,-0.72,-8.45,2019-07-25,After Market Close,-0.77,1.02,2019-10-24,After Market Close,0.72,3.75,2020-01-23,After Market Close,0.21,5.13
245,INTU,2019-02-21,TAS,-0.4,0.72,2019-05-23,Time Not Supplied,-0.99,4.12,2019-08-22,TAS,0.28,5.32,2019-11-21,TAS,0.6,-1.19,2020-02-24,TAS,-3.07,3.88
246,IP,2019-01-31,TAS,1.06,0.34,2019-04-25,TAS,2.17,0.48,2019-07-25,TAS,0.18,-0.2,2019-10-31,TAS,1.29,0.71,2020-01-30,TAS,-1.45,-1.04
247,IPG,2019-02-13,TAS,4.98,-0.22,2019-04-26,TAS,3.23,0.9,2019-07-23,TAS,-3.42,0.53,2019-10-22,TAS,-0.43,-0.33,2020-02-12,TAS,3.23,-0.08
248,IPGP,2019-02-12,TAS,0.17,0.2,2019-04-30,TAS,-3.16,-1.51,2019-07-30,TAS,-4.98,-0.25,2019-10-29,TAS,-9.62,0.45,2020-02-13,TAS,-2.09,0.02
249,IQV,2019-02-14,TAS,2.41,1.19,2019-05-01,TAS,-1.22,-0.43,2019-07-24,TAS,-0.03,0.09,2019-10-30,TAS,-1.47,-0.01,2020-02-12,TAS,1.95,-0.79
250,IR,2019-01-30,TAS,0.89,-0.19,2019-04-30,TAS,0.87,0.32,2019-07-30,TAS,0.08,-0.33,2019-10-29,TAS,1.92,-0.44,2020-02-17,After Market Close,-0.53,0.56
251,IRM,2019-02-14,TAS,0.17,0.31,2019-04-25,TAS,-3.46,0.18,,,,,2019-10-31,TAS,-1.22,0.0,2020-02-13,TAS,0.66,-0.24
252,ISRG,Multi,Multi,,,2019-04-18,TAS,0.95,-5.33,2019-07-18,TAS,-0.19,-0.63,2019-10-17,TAS,0.84,3.32,Multi,Multi,,
253,IT,2019-02-05,TAS,-9.86,-1.42,2019-05-07,TAS,-1.81,-0.49,2019-07-30,TAS,-13.1,0.17,2019-10-31,TAS,1.64,-0.21,2020-02-04,TAS,-5.08,0.0
254,ITW,2019-02-01,TAS,-3.42,0.67,2019-04-25,TAS,-3.03,0.98,2019-07-26,TAS,-2.29,0.12,2019-10-25,TAS,2.49,1.02,2020-01-31,TAS,0.0,0.34
255,IVZ,2019-01-30,TAS,-1.57,-1.02,2019-04-25,TAS,1.07,-0.23,2019-07-25,TAS,0.65,-0.51,2019-10-23,TAS,4.24,0.64,2020-01-29,TAS,-1.17,-1.3
256,J,,,,,,,,,,,,,2019-11-25,TAS,2.01,0.14,2020-02-04,TAS,1.38,1.09
257,JBHT,2019-01-17,TAS,1.34,8.89,2019-04-15,TAS,0.14,-5.21,2019-07-15,TAS,0.06,7.62,2019-10-15,TAS,-0.53,1.82,2020-01-17,TAS,-4.33,0.43
258,JCI,2019-02-01,TAS,-0.15,-0.48,2019-05-01,TAS,4.08,-0.1,2019-07-31,TAS,0.44,-0.64,2019-11-07,TAS,0.11,-0.26,2020-01-31,TAS,1.83,0.33
259,JKHY,2019-02-05,TAS,0.49,-4.93,2019-04-30,TAS,0.26,-2.46,2019-08-20,TAS,-0.1,1.63,2019-11-04,TAS,0.85,2.41,2020-02-04,TAS,0.74,4.98
260,JNJ,2019-01-22,TAS,-1.91,-0.23,2019-04-16,TAS,1.32,0.71,2019-07-16,TAS,-1.32,-0.01,2019-10-15,TAS,1.74,1.55,2020-01-22,TAS,-1.72,-0.14
261,JNPR,2019-01-29,TAS,0.36,-10.55,2019-04-25,TAS,-0.52,-0.92,2019-07-25,TAS,-0.55,3.14,2019-10-24,TAS,0.04,4.57,2020-01-27,TAS,-1.51,-7.11
262,JPM,2019-01-15,TAS,-2.03,0.56,2019-04-12,TAS,3.02,-0.26,2019-07-16,TAS,-0.37,-0.6,2019-10-15,TAS,2.06,0.0,2020-01-14,TAS,0.54,-0.68
263,JWN,2019-02-28,TAS,0.7,2.43,2019-05-21,TAS,-1.23,-9.43,2019-08-21,TAS,1.63,9.27,2019-11-21,TAS,-2.89,7.95,2020-03-03,TAS,0.52,-6.16
264,K,2019-02-07,TAS,-4.39,-0.93,2019-05-02,TAS,-4.13,0.05,2019-08-01,TAS,4.65,-0.86,2019-10-29,TAS,3.18,0.72,2020-02-06,TAS,-7.41,-0.32
265,KEY,2019-01-17,TAS,-1.43,0.8,2019-04-18,TAS,-1.57,-0.54,2019-07-23,TAS,0.63,0.06,2019-10-17,TAS,1.53,-0.29,2020-01-23,TAS,0.71,0.55
266,KEYS,2019-02-21,TAS,0.47,2.92,2019-05-29,TAS,-0.81,11.68,2019-08-21,TAS,1.43,5.95,2019-11-26,TAS,0.93,1.64,2020-02-24,TAS,-3.31,9.79
267,KHC,2019-02-21,TAS,0.27,-25.59,,,,,Multi,Multi,,,2019-10-31,TAS,5.58,-0.65,2020-02-13,TAS,-3.08,0.29
